"Cnt","Est","Est.km"
"New Caledonia",321885440749.048,321885.440749048
"Solomon Islands",957514267609.949,957514.267609949
"Vanuatu",407542286843.145,407542.286843145
"Gilbert Islands",133120177564.014,133120.177564014
"Marshall Islands",610416295389.004,610416.295389004
"Nauru",309260778494.723,309260.778494723
"Papua New Guinea",590604281200.587,590604.281200587
"Indonesia",14322494780.5407,14322.4947805407
"Micronesia",2248215760703.47,2248215.76070347
"New Caledonia",321885440749.048,321885.440749048
"Solomon Islands",957514267609.949,957514.267609949
"Vanuatu",407542286843.145,407542.286843145
"Gilbert Islands",133120177564.014,133120.177564014
"Marshall Islands",610416295389.004,610416.295389004
"Nauru",309260778494.723,309260.778494723
"Papua New Guinea",590604281200.587,590604.281200587
"Indonesia",14322494780.5407,14322.4947805407
"Micronesia",2248215760703.47,2248215.76070347
"New Caledonia",321885440749.048,321885.440749048
"Solomon Islands",957514267609.949,957514.267609949
"Vanuatu",407542286843.145,407542.286843145
"Gilbert Islands",133120177564.014,133120.177564014
"Marshall Islands",610416295389.004,610416.295389004
"Nauru",309260778494.723,309260.778494723
"Papua New Guinea",590604281200.587,590604.281200587
"Indonesia",14322494780.5407,14322.4947805407
"Micronesia",2248215760703.47,2248215.76070347
"New Caledonia",321885440749.048,321885.440749048
"Solomon Islands",957514267609.949,957514.267609949
"Vanuatu",407542286843.145,407542.286843145
"Gilbert Islands",133120177564.014,133120.177564014
"Marshall Islands",610416295389.004,610416.295389004
"Nauru",309260778494.723,309260.778494723
"Papua New Guinea",590604281200.587,590604.281200587
"Indonesia",14322494780.5407,14322.4947805407
"Micronesia",2248215760703.47,2248215.76070347
